Format,DataType,Size,Save,Load,FileSize (KB)
pd_json_records,category,1000,0.006449175,0.384188795,25.28
pd_json_records,float64,1000,0.007800198,0.19209938,30.53
pd_json_records,text,1000,0.005232811,0.379734802,21.38
pd_json_records,ones,1000,0.004770184,0.342230988,16.5
pd_json_records,int64,1000,0.004967022,0.343470001,22.72
pd_json_records,datetime64,1000,0.01215682,0.345873785,34.07
pd_json_records,floatToInt,1000,0.004895163,0.342995214,26.98
pd_json_records,roundFloat,1000,0.007951975,0.192942762,27.88
cPickle,category,1000,0.003679609,0.002901173,5.14
cPickle,float64,1000,0.007191801,0.006085587,24.23
cPickle,text,1000,0.00764761,0.006813812,14.58
cPickle,ones,1000,0.006995821,0.004560804,16.57
cPickle,int64,1000,0.008585405,0.007158375,29.8
cPickle,datetime64,1000,0.008024597,0.006809568,27.75
cPickle,floatToInt,1000,0.005234814,0.004191208,14.39
cPickle,roundFloat,1000,0.007250214,0.005875206,23.09
pd_msgpack_blosc,category,1000,0.00246563,0.002967596,1.68
pd_msgpack_blosc,float64,1000,0.002612972,0.001922607,7.94
pd_msgpack_blosc,text,1000,0.003453588,0.002328205,6.19
pd_msgpack_blosc,ones,1000,0.002303362,0.001848793,0.42
pd_msgpack_blosc,int64,1000,0.002771187,0.00193162,5.8
pd_msgpack_blosc,datetime64,1000,0.002241993,0.001905823,2.81
pd_msgpack_blosc,floatToInt,1000,0.003787422,0.001873398,3.6
pd_msgpack_blosc,roundFloat,1000,0.003591394,0.001907015,7.89
gzPickleV2,category,1000,0.013700581,0.0079772,1.46
gzPickleV2,float64,1000,0.011832809,0.006044817,8.16
gzPickleV2,text,1000,0.079928589,0.047282028,3.81
gzPickleV2,ones,1000,0.010053587,0.00561676,0.56
gzPickleV2,int64,1000,0.020284796,0.005967379,4.19
gzPickleV2,datetime64,1000,0.017483807,0.006281567,5.37
gzPickleV2,floatToInt,1000,0.011042786,0.005877209,3.68
gzPickleV2,roundFloat,1000,0.012044191,0.006035805,4.28
pd_msgpack_zlib,category,1000,0.002884626,0.003297758,1.29
pd_msgpack_zlib,float64,1000,0.00456481,0.002265024,7.84
pd_msgpack_zlib,text,1000,0.003485203,0.002343798,6.17
pd_msgpack_zlib,ones,1000,0.002417183,0.00183382,0.34
pd_msgpack_zlib,int64,1000,0.004685402,0.001984167,3.9
pd_msgpack_zlib,datetime64,1000,0.004852629,0.002040195,5.04
pd_msgpack_zlib,floatToInt,1000,0.003443623,0.002178383,3.36
pd_msgpack_zlib,roundFloat,1000,0.004584599,0.001990604,3.99
pd_msgpack,category,1000,0.002499819,0.002924824,1.62
pd_msgpack,float64,1000,0.002857399,0.00183363,8.12
pd_msgpack,text,1000,0.002906179,0.00230999,6.16
pd_msgpack,ones,1000,0.002828598,0.001762581,4.2
pd_msgpack,int64,1000,0.002705765,0.001827383,8.11
pd_msgpack,datetime64,1000,0.002324009,0.001836586,8.13
pd_msgpack,floatToInt,1000,0.002809572,0.001792812,4.21
pd_msgpack,roundFloat,1000,0.002750444,0.001832008,8.12
pd_Pickle,category,1000,0.002187586,0.001961803,1.97
pd_Pickle,float64,1000,0.002441168,0.001523209,8.47
pd_Pickle,text,1000,0.005382776,0.003986788,10.76
pd_Pickle,ones,1000,0.00237999,0.001472807,4.56
pd_Pickle,int64,1000,0.003464794,0.001540995,8.47
pd_Pickle,datetime64,1000,0.002386618,0.001634216,8.49
pd_Pickle,floatToInt,1000,0.002059603,0.001469183,4.57
pd_Pickle,roundFloat,1000,0.002344179,0.001497984,8.48
PickleV0,category,1000,0.00638423,0.005054045,5.3
PickleV0,float64,1000,0.009973431,0.004244423,24.34
PickleV0,text,1000,0.027924204,0.026583815,14.71
PickleV0,ones,1000,0.008049202,0.003943443,16.68
PickleV0,int64,1000,0.011325979,0.004406786,29.91
PickleV0,datetime64,1000,0.010570002,0.004487371,27.88
PickleV0,floatToInt,1000,0.008295584,0.003888798,14.5
PickleV0,roundFloat,1000,0.009725809,0.00417943,23.2
PickleV1,category,1000,0.005984783,0.004051018,2.13
PickleV1,float64,1000,0.005468988,0.00303421,8.61
PickleV1,text,1000,0.028191376,0.015642405,10.96
PickleV1,ones,1000,0.0050488,0.002991009,4.7
PickleV1,int64,1000,0.005516195,0.003009796,8.6
PickleV1,datetime64,1000,0.0061028,0.003127432,8.63
PickleV1,floatToInt,1000,0.005030012,0.002989817,4.7
PickleV1,roundFloat,1000,0.005506039,0.003014994,8.61
PickleV2,category,1000,0.005908203,0.003728199,2.03
PickleV2,float64,1000,0.006205988,0.002776384,8.52
PickleV2,text,1000,0.027789974,0.015482807,10.87
PickleV2,ones,1000,0.004753208,0.00275979,4.62
PickleV2,int64,1000,0.006100178,0.002820396,8.52
PickleV2,datetime64,1000,0.005776787,0.0028862,8.55
PickleV2,floatToInt,1000,0.004756403,0.002754021,4.62
PickleV2,roundFloat,1000,0.006137228,0.002778959,8.53
pd_hdf5_table,category,1000,0.206710768,0.097078228,176.31
pd_hdf5_table,float64,1000,0.067777634,0.036468792,82.44
pd_hdf5_table,text,1000,0.068614006,0.037109804,82.38
pd_hdf5_table,ones,1000,0.067223597,0.03642664,82.42
pd_hdf5_table,int64,1000,0.067466021,0.036401606,82.43
pd_hdf5_table,datetime64,1000,0.067138195,0.036520004,82.44
pd_hdf5_table,floatToInt,1000,0.067116404,0.036450815,82.43
pd_hdf5_table,roundFloat,1000,0.068789816,0.036431789,82.44
pd_json_split,category,1000,0.005682802,0.383228016,25.28
pd_json_split,float64,1000,0.007750797,0.194294834,30.53
pd_json_split,text,1000,0.003865433,0.383885193,21.38
pd_json_split,ones,1000,0.004951191,0.346632576,16.5
pd_json_split,int64,1000,0.005016804,0.346219587,22.72
pd_json_split,datetime64,1000,0.012164783,0.34910078,34.07
pd_json_split,floatToInt,1000,0.006005192,0.346957207,26.98
pd_json_split,roundFloat,1000,0.007827616,0.195052624,27.88
pd_csv,category,1000,0.008544588,0.006293583,8.69
pd_csv,float64,1000,0.010645771,0.006673574,18.66
pd_csv,text,1000,0.007961798,0.006684017,8.69
pd_csv,ones,1000,0.007292223,0.006126022,5.76
pd_csv,int64,1000,0.009372997,0.00655098,11.01
pd_csv,datetime64,1000,0.028917599,0.009221029,33.11
pd_csv,floatToInt,1000,0.008334637,0.00656004,10.39
pd_csv,roundFloat,1000,0.010006428,0.006050968,11.29
pd_json_index,category,1000,0.004491234,0.382890987,25.28
pd_json_index,float64,1000,0.007705212,0.194028807,30.53
pd_json_index,text,1000,0.004039431,0.383781195,21.38
pd_json_index,ones,1000,0.004139805,0.34662137,16.5
pd_json_index,int64,1000,0.00532279,0.347098827,22.72
pd_json_index,datetime64,1000,0.012149763,0.349036407,34.07
pd_json_index,floatToInt,1000,0.004736805,0.346835804,26.98
pd_json_index,roundFloat,1000,0.008656597,0.194164991,27.88
pd_hdf5_fixed,category,1000,,,
pd_hdf5_fixed,float64,1000,0.031724215,0.024487829,22.66
pd_hdf5_fixed,text,1000,0.073646402,0.0272614,1051.08
pd_hdf5_fixed,ones,1000,0.031457996,0.024429035,18.76
pd_hdf5_fixed,int64,1000,0.030056,0.024456978,22.66
pd_hdf5_fixed,datetime64,1000,0.030486202,0.025496197,22.66
pd_hdf5_fixed,floatToInt,1000,0.030413389,0.024460793,18.76
pd_hdf5_fixed,roundFloat,1000,0.029864407,0.024446821,22.66
lzmaPickleV2,category,1000,0.042269421,0.005784607,1.81
lzmaPickleV2,float64,1000,0.071765995,0.007796192,10.44
lzmaPickleV2,text,1000,0.070477772,0.0250144,1.81
lzmaPickleV2,ones,1000,0.044227171,0.004473591,0.71
lzmaPickleV2,int64,1000,0.095574427,0.006343365,5.23
lzmaPickleV2,datetime64,1000,0.081958628,0.007315397,6.89
lzmaPickleV2,floatToInt,1000,0.057447577,0.005552387,4.55
lzmaPickleV2,roundFloat,1000,0.072249985,0.006044006,5.34
pd_json_records,category,5000,0.017819977,1.885972977,130.75
pd_json_records,float64,5000,0.036861801,0.936434031,157.1
pd_json_records,text,5000,0.023834181,1.895641422,111.22
pd_json_records,ones,5000,0.015725231,1.718031168,86.81
pd_json_records,int64,5000,0.023057365,1.704869413,117.99
pd_json_records,datetime64,5000,0.058755779,1.708416986,174.7
pd_json_records,floatToInt,5000,0.021959829,1.705788803,139.17
pd_json_records,roundFloat,5000,0.03718996,0.934849405,143.48
cPickle,category,5000,0.009895229,0.006109571,19.85
cPickle,float64,5000,0.025776005,0.023675823,116.63
cPickle,text,5000,0.032036018,0.028969622,73.17
cPickle,ones,5000,0.020742035,0.016379213,79.07
cPickle,int64,5000,0.036357403,0.029156208,145.2
cPickle,datetime64,5000,0.030063772,0.02736721,135
cPickle,floatToInt,5000,0.017689562,0.014547968,68.01
cPickle,roundFloat,5000,0.024155998,0.022747612,111.53
pd_msgpack_blosc,category,5000,0.003897429,0.003197432,5.55
pd_msgpack_blosc,float64,5000,0.006829786,0.002431583,38.09
pd_msgpack_blosc,text,5000,0.008938217,0.004948187,29.63
pd_msgpack_blosc,ones,5000,0.003030014,0.001989031,0.48
pd_msgpack_blosc,int64,5000,0.005191422,0.002519417,27.46
pd_msgpack_blosc,datetime64,5000,0.004025412,0.002252579,8.26
pd_msgpack_blosc,floatToInt,5000,0.004086399,0.002203608,15.85
pd_msgpack_blosc,roundFloat,5000,0.005816984,0.002579021,37.76
gzPickleV2,category,5000,0.014744377,0.008259773,4.03
gzPickleV2,float64,5000,0.019413424,0.007147408,38.19
gzPickleV2,text,5000,0.505552578,0.21649642,15.75
gzPickleV2,ones,5000,0.011143398,0.005874395,0.6
gzPickleV2,int64,5000,0.143989611,0.006918812,18.24
gzPickleV2,datetime64,5000,0.151867247,0.007278776,24.08
gzPickleV2,floatToInt,5000,0.016601229,0.006501579,15.47
gzPickleV2,roundFloat,5000,0.037334824,0.006933975,18.13
pd_msgpack_zlib,category,5000,0.003059006,0.003222609,3.72
pd_msgpack_zlib,float64,5000,0.011558008,0.003072596,37.85
pd_msgpack_zlib,text,5000,0.008583784,0.005105019,29.61
pd_msgpack_zlib,ones,5000,0.002961206,0.001980209,0.35
pd_msgpack_zlib,int64,5000,0.021539974,0.002727175,17.92
pd_msgpack_zlib,datetime64,5000,0.0203866,0.002909803,23.76
pd_msgpack_zlib,floatToInt,5000,0.007900572,0.002485371,15.14
pd_msgpack_zlib,roundFloat,5000,0.021877384,0.002764797,17.85
pd_msgpack,category,5000,0.002058792,0.003091812,5.53
pd_msgpack,float64,5000,0.003855181,0.002074385,39.37
pd_msgpack,text,5000,0.008051205,0.004861212,29.6
pd_msgpack,ones,5000,0.003232193,0.001940393,19.83
pd_msgpack,int64,5000,0.004024172,0.002136612,39.36
pd_msgpack,datetime64,5000,0.003810215,0.002088213,39.38
pd_msgpack,floatToInt,5000,0.002833986,0.001941395,19.83
pd_msgpack,roundFloat,5000,0.003853607,0.002073002,39.37
pd_Pickle,category,5000,0.002783823,0.002027845,5.88
pd_Pickle,float64,5000,0.003956604,0.001697826,39.72
pd_Pickle,text,5000,0.018849802,0.013945389,53.74
pd_Pickle,ones,5000,0.003424215,0.001790619,20.19
pd_Pickle,int64,5000,0.004204845,0.001683807,39.72
pd_Pickle,datetime64,5000,0.003955412,0.001740026,39.74
pd_Pickle,floatToInt,5000,0.003633976,0.001579618,20.2
pd_Pickle,roundFloat,5000,0.00416398,0.001694584,39.73
PickleV0,category,5000,0.01072402,0.005448627,20
PickleV0,float64,5000,0.027699184,0.007140779,116.74
PickleV0,text,5000,0.120985603,0.120964384,73.3
PickleV0,ones,5000,0.023257017,0.005747223,79.18
PickleV0,int64,5000,0.041114998,0.008054972,145.31
PickleV0,datetime64,5000,0.033270645,0.007974243,135.13
PickleV0,floatToInt,5000,0.019915199,0.005630779,68.12
PickleV0,roundFloat,5000,0.027234364,0.006921005,111.64
PickleV1,category,5000,0.007886219,0.004420233,6.04
PickleV1,float64,5000,0.006929827,0.003170013,39.86
PickleV1,text,5000,0.121252012,0.0686028,53.93
PickleV1,ones,5000,0.006636,0.003052425,20.32
PickleV1,int64,5000,0.006672621,0.003158188,39.85
PickleV1,datetime64,5000,0.007147169,0.003261995,39.88
PickleV1,floatToInt,5000,0.006697798,0.003077984,20.33
PickleV1,roundFloat,5000,0.008170033,0.003230619,39.86
PickleV2,category,5000,0.006898403,0.003829241,5.94
PickleV2,float64,5000,0.008564806,0.002940798,39.77
PickleV2,text,5000,0.122760439,0.069021988,53.84
PickleV2,ones,5000,0.006030416,0.002865982,20.24
PickleV2,int64,5000,0.006639433,0.0029706,39.77
PickleV2,datetime64,5000,0.006963587,0.003051805,39.8
PickleV2,floatToInt,5000,0.005636787,0.002876568,20.25
PickleV2,roundFloat,5000,0.007206631,0.002944183,39.78
pd_hdf5_table,category,5000,0.187135792,0.098697805,177.89
pd_hdf5_table,float64,5000,0.076142359,0.037160206,148.02
pd_hdf5_table,text,5000,0.077945757,0.039588976,83.96
pd_hdf5_table,ones,5000,0.073959398,0.036931801,84
pd_hdf5_table,int64,5000,0.076112604,0.037189198,148.01
pd_hdf5_table,datetime64,5000,0.075594616,0.037292576,148.02
pd_hdf5_table,floatToInt,5000,0.072120619,0.037089205,84.01
pd_hdf5_table,roundFloat,5000,0.075887012,0.037147999,148.02
pd_json_split,category,5000,0.018015814,1.907216978,130.75
pd_json_split,float64,5000,0.037097788,0.946667576,157.1
pd_json_split,text,5000,0.01726861,1.906980371,111.22
pd_json_split,ones,5000,0.01585722,1.719907379,86.81
pd_json_split,int64,5000,0.023281193,1.719302225,117.99
pd_json_split,datetime64,5000,0.05909996,1.738239193,174.7
pd_json_split,floatToInt,5000,0.022038412,1.742412996,139.17
pd_json_split,roundFloat,5000,0.037449217,0.941687775,143.48
pd_csv,category,5000,0.031381989,0.014590597,47.75
pd_csv,float64,5000,0.043056393,0.019881392,97.4
pd_csv,text,5000,0.029594994,0.017451239,47.75
pd_csv,ones,5000,0.028734016,0.016069365,33.1
pd_csv,int64,5000,0.033833599,0.0188622,59.4
pd_csv,datetime64,5000,0.133959579,0.028980017,169.83
pd_csv,floatToInt,5000,0.03300662,0.01871438,56.17
pd_csv,roundFloat,5000,0.038406801,0.015948391,60.48
pd_json_index,category,5000,0.01801362,1.902287769,130.75
pd_json_index,float64,5000,0.037135601,0.942505407,157.1
pd_json_index,text,5000,0.017496014,1.90286417,111.22
pd_json_index,ones,5000,0.015846205,1.720655203,86.81
pd_json_index,int64,5000,0.023265171,1.718864393,117.99
pd_json_index,datetime64,5000,0.059114027,1.729104185,174.7
pd_json_index,floatToInt,5000,0.022083616,1.716014385,139.17
pd_json_index,roundFloat,5000,0.037400579,0.941207218,143.48
pd_hdf5_fixed,category,5000,,,
pd_hdf5_fixed,float64,5000,0.037163401,0.024966192,85.16
pd_hdf5_fixed,text,5000,0.084073782,0.032164001,1125.3
pd_hdf5_fixed,ones,5000,0.03337841,0.024896812,65.63
pd_hdf5_fixed,int64,5000,0.034482002,0.025019598,85.16
pd_hdf5_fixed,datetime64,5000,0.0360816,0.025304794,85.16
pd_hdf5_fixed,floatToInt,5000,0.03394537,0.024963379,65.63
pd_hdf5_fixed,roundFloat,5000,0.034349775,0.02499299,85.16
lzmaPickleV2,category,5000,0.079373789,0.007312584,4.82
lzmaPickleV2,float64,5000,0.26773777,0.021856594,47.59
lzmaPickleV2,text,5000,0.243737984,0.110905409,5.31
lzmaPickleV2,ones,5000,0.089842606,0.006716204,0.74
lzmaPickleV2,int64,5000,0.420950413,0.016442823,21.61
lzmaPickleV2,datetime64,5000,0.352487612,0.020679998,31.57
lzmaPickleV2,floatToInt,5000,0.17917223,0.011480999,18.08
lzmaPickleV2,roundFloat,5000,0.26441679,0.013620615,21.58
pd_json_records,category,10000,0.035552597,3.78278904,262.59
pd_json_records,float64,10000,0.076543188,1.872137213,315.21
pd_json_records,text,10000,0.034031391,3.78064456,223.53
pd_json_records,ones,10000,0.032293844,3.419542789,174.7
pd_json_records,int64,10000,0.045715618,3.420950794,237.02
pd_json_records,datetime64,10000,0.117052984,3.434701395,350.48
pd_json_records,floatToInt,10000,0.043479395,3.416575575,279.38
pd_json_records,roundFloat,10000,0.074250793,1.872974586,288.32
cPickle,category,10000,0.012032604,0.009301996,38.27
cPickle,float64,10000,0.047102594,0.045706034,232.23
cPickle,text,10000,0.064493799,0.057413006,146.46
cPickle,ones,10000,0.03864522,0.031105995,157.19
cPickle,int64,10000,0.065516615,0.05633359,289.1
cPickle,datetime64,10000,0.058670759,0.052882385,269.19
cPickle,floatToInt,10000,0.029480028,0.027386045,135.25
cPickle,roundFloat,10000,0.042416382,0.043725204,222.29
pd_msgpack_blosc,category,10000,0.005699396,0.003388596,10.19
pd_msgpack_blosc,float64,10000,0.010902405,0.002919817,75.8
pd_msgpack_blosc,text,10000,0.014447021,0.008722019,58.92
